state,county,candidate,party,votes
Georgia,Lee County,David Perdue,REP,11862
Georgia,Lee County,Jon Ossoff,DEM,4424
Georgia,Lee County,Shane Hazel,LIB,273
Georgia,Liberty County,Jon Ossoff,DEM,12695
Georgia,Liberty County,David Perdue,REP,7728
Georgia,Liberty County,Shane Hazel,LIB,608
Georgia,Lincoln County,David Perdue,REP,3135
Georgia,Lincoln County,Jon Ossoff,DEM,1370
Georgia,Lincoln County,Shane Hazel,LIB,83
Georgia,Long County,David Perdue,REP,3389
Georgia,Long County,Jon Ossoff,DEM,2029
Georgia,Long County,Shane Hazel,LIB,163
Georgia,Lowndes County,David Perdue,REP,25620
Georgia,Lowndes County,Jon Ossoff,DEM,19124
Georgia,Lowndes County,Shane Hazel,LIB,1028
Georgia,Lumpkin County,David Perdue,REP,11937
Georgia,Lumpkin County,Jon Ossoff,DEM,2924
Georgia,Lumpkin County,Shane Hazel,LIB,496
Georgia,McDuffie County,David Perdue,REP,6198
Georgia,McDuffie County,Jon Ossoff,DEM,3968
Georgia,McDuffie County,Shane Hazel,LIB,204
Georgia,McIntosh County,David Perdue,REP,3967
Georgia,McIntosh County,Jon Ossoff,DEM,2498
Georgia,McIntosh County,Shane Hazel,LIB,137
Georgia,Macon County,Jon Ossoff,DEM,2727
Georgia,Macon County,David Perdue,REP,1787
Georgia,Macon County,Shane Hazel,LIB,79
Georgia,Madison County,David Perdue,REP,10953
Georgia,Madison County,Jon Ossoff,DEM,3265
Georgia,Madison County,Shane Hazel,LIB,351
Georgia,Marion County,David Perdue,REP,2248
Georgia,Marion County,Jon Ossoff,DEM,1267
Georgia,Marion County,Shane Hazel,LIB,84
Georgia,Meriwether County,David Perdue,REP,6430
Georgia,Meriwether County,Jon Ossoff,DEM,4130
Georgia,Meriwether County,Shane Hazel,LIB,195
Georgia,Meriwether County, Write-ins,WRI,16
Georgia,Miller County,David Perdue,REP,2047
Georgia,Miller County,Jon Ossoff,DEM,687
Georgia,Miller County,Shane Hazel,LIB,47
Georgia,Mitchell County,David Perdue,REP,4921
Georgia,Mitchell County,Jon Ossoff,DEM,3832
Georgia,Mitchell County,Shane Hazel,LIB,118
Georgia,Monroe County,David Perdue,REP,10929
Georgia,Monroe County,Jon Ossoff,DEM,4205
Georgia,Monroe County,Shane Hazel,LIB,294
Georgia,Montgomery County,David Perdue,REP,2926
Georgia,Montgomery County,Jon Ossoff,DEM,928
Georgia,Montgomery County,Shane Hazel,LIB,62
Georgia,Montgomery County, Write-ins,WRI,0
Georgia,Morgan County,David Perdue,REP,8257
Georgia,Morgan County,Jon Ossoff,DEM,3151
Georgia,Morgan County,Shane Hazel,LIB,217
Georgia,Murray County,David Perdue,REP,12493
Georgia,Murray County,Jon Ossoff,DEM,2296
Georgia,Murray County,Shane Hazel,LIB,362
Georgia,Muscogee County,Jon Ossoff,DEM,47451
Georgia,Muscogee County,David Perdue,REP,30194
Georgia,Muscogee County,Shane Hazel,LIB,1766
Georgia,Newton County,Jon Ossoff,DEM,29207
Georgia,Newton County,David Perdue,REP,23407
Georgia,Newton County,Shane Hazel,LIB,1150
Georgia,Oconee County,David Perdue,REP,17107
Georgia,Oconee County,Jon Ossoff,DEM,7463
Georgia,Oconee County,Shane Hazel,LIB,569
Georgia,Oglethorpe County,David Perdue,REP,5498
Georgia,Oglethorpe County,Jon Ossoff,DEM,2321
Georgia,Oglethorpe County,Shane Hazel,LIB,233
Georgia,Paulding County,David Perdue,REP,53423
Georgia,Paulding County,Jon Ossoff,DEM,28713
Georgia,Paulding County,Shane Hazel,LIB,2303
Georgia,Peach County,David Perdue,REP,6483
Georgia,Peach County,Jon Ossoff,DEM,5702
Georgia,Peach County,Shane Hazel,LIB,247
Georgia,Pickens County,David Perdue,REP,13860
Georgia,Pickens County,Jon Ossoff,DEM,2678
Georgia,Pickens County,Shane Hazel,LIB,431
Georgia,Pierce County,David Perdue,REP,7810
Georgia,Pierce County,Jon Ossoff,DEM,1002
Georgia,Pierce County,Shane Hazel,LIB,128
Georgia,Pike County,David Perdue,REP,9045
Georgia,Pike County,Jon Ossoff,DEM,1430
Georgia,Pike County,Shane Hazel,LIB,174
Georgia,Polk County,David Perdue,REP,13282
Georgia,Polk County,Jon Ossoff,DEM,3537
Georgia,Polk County,Shane Hazel,LIB,416
Georgia,Pulaski County,David Perdue,REP,2787
Georgia,Pulaski County,Jon Ossoff,DEM,1139
Georgia,Pulaski County,Shane Hazel,LIB,79
Georgia,Putnam County,David Perdue,REP,8279
Georgia,Putnam County,Jon Ossoff,DEM,3299
Georgia,Putnam County,Shane Hazel,LIB,189
Georgia,Quitman County,David Perdue,REP,600
Georgia,Quitman County,Jon Ossoff,DEM,470
Georgia,Quitman County,Shane Hazel,LIB,15
Georgia,Quitman County, Write-ins,WRI,1
Georgia,Rabun County,David Perdue,REP,7392
Georgia,Rabun County,Jon Ossoff,DEM,1825
Georgia,Rabun County,Shane Hazel,LIB,255
Georgia,Randolph County,Jon Ossoff,DEM,1606
Georgia,Randolph County,David Perdue,REP,1404
Georgia,Randolph County,Shane Hazel,LIB,31
Georgia,Richmond County,Jon Ossoff,DEM,56474
Georgia,Richmond County,David Perdue,REP,26973
Georgia,Richmond County,Shane Hazel,LIB,2113
Georgia,Rockdale County,Jon Ossoff,DEM,30641
Georgia,Rockdale County,David Perdue,REP,12716
Georgia,Rockdale County,Shane Hazel,LIB,906
Georgia,Schley County,David Perdue,REP,1783
Georgia,Schley County,Jon Ossoff,DEM,439
Georgia,Schley County,Shane Hazel,LIB,34
Georgia,Screven County,David Perdue,REP,3892
Georgia,Screven County,Jon Ossoff,DEM,2589
Georgia,Screven County,Shane Hazel,LIB,65
Georgia,Seminole County,David Perdue,REP,2593
Georgia,Seminole County,Jon Ossoff,DEM,1184
Georgia,Seminole County,Shane Hazel,LIB,54
Georgia,Spalding County,David Perdue,REP,17768
Georgia,Spalding County,Jon Ossoff,DEM,11355
Georgia,Spalding County,Shane Hazel,LIB,641
Georgia,Stephens County,David Perdue,REP,9353
Georgia,Stephens County,Jon Ossoff,DEM,2187
Georgia,Stephens County,Shane Hazel,LIB,228
Georgia,Stewart County,Jon Ossoff,DEM,1115
Georgia,Stewart County,David Perdue,REP,803
Georgia,Stewart County,Shane Hazel,LIB,35
Georgia,Sumter County,Jon Ossoff,DEM,6114
Georgia,Sumter County,David Perdue,REP,5743
Georgia,Sumter County,Shane Hazel,LIB,165
Georgia,Talbot County,Jon Ossoff,DEM,2012
Georgia,Talbot County,David Perdue,REP,1384
Georgia,Talbot County,Shane Hazel,LIB,51
Georgia,Talbot County, Write-ins,WRI,0
Georgia,Taliaferro County,Jon Ossoff,DEM,521
Georgia,Taliaferro County,David Perdue,REP,366
Georgia,Taliaferro County,Shane Hazel,LIB,15
Georgia,Tattnall County,David Perdue,REP,5949
Georgia,Tattnall County,Jon Ossoff,DEM,1978
Georgia,Tattnall County,Shane Hazel,LIB,157
Georgia,Taylor County,David Perdue,REP,2399
Georgia,Taylor County,Jon Ossoff,DEM,1312
Georgia,Taylor County,Shane Hazel,LIB,81
Georgia,Telfair County,David Perdue,REP,2749
Georgia,Telfair County,Jon Ossoff,DEM,1428
Georgia,Telfair County,Shane Hazel,LIB,68
Georgia,Terrell County,Jon Ossoff,DEM,2277
Georgia,Terrell County,David Perdue,REP,2040
Georgia,Terrell County,Shane Hazel,LIB,58
Georgia,Thomas County,David Perdue,REP,13020
Georgia,Thomas County,Jon Ossoff,DEM,8158
Georgia,Thomas County,Shane Hazel,LIB,422
Georgia,Tift County,David Perdue,REP,10814
Georgia,Tift County,Jon Ossoff,DEM,4956
Georgia,Tift County,Shane Hazel,LIB,305
Georgia,Toombs County,David Perdue,REP,7793
Georgia,Toombs County,Jon Ossoff,DEM,2832
Georgia,Toombs County,Shane Hazel,LIB,173
Georgia,Towns County,David Perdue,REP,6291
Georgia,Towns County,Jon Ossoff,DEM,1451
Georgia,Towns County,Shane Hazel,LIB,146
Georgia,Treutlen County,David Perdue,REP,2078
Georgia,Treutlen County,Jon Ossoff,DEM,893
Georgia,Treutlen County,Shane Hazel,LIB,52
Georgia,Troup County,David Perdue,REP,18165
Georgia,Troup County,Jon Ossoff,DEM,11118
Georgia,Troup County,Shane Hazel,LIB,536
Georgia,Turner County,David Perdue,REP,2334
Georgia,Turner County,Jon Ossoff,DEM,1345
Georgia,Turner County,Shane Hazel,LIB,62
Georgia,Twiggs County,David Perdue,REP,2311
Georgia,Twiggs County,Jon Ossoff,DEM,1979
Georgia,Twiggs County,Shane Hazel,LIB,87
Georgia,Union County,David Perdue,REP,12423
Georgia,Union County,Jon Ossoff,DEM,2616
Georgia,Union County,Shane Hazel,LIB,339
Georgia,Upson County,David Perdue,REP,8563
Georgia,Upson County,Jon Ossoff,DEM,4000
Georgia,Upson County,Shane Hazel,LIB,216
Georgia,Walker County,David Perdue,REP,22643
Georgia,Walker County,Jon Ossoff,DEM,5430
Georgia,Walker County,Shane Hazel,LIB,883
Georgia,Walker County, Write-ins,WRI,31
Georgia,Walton County,David Perdue,REP,37169
Georgia,Walton County,Jon Ossoff,DEM,12102
Georgia,Walton County,Shane Hazel,LIB,1186
Georgia,Ware County,David Perdue,REP,9833
Georgia,Ware County,Jon Ossoff,DEM,3973
Georgia,Ware County,Shane Hazel,LIB,269
Georgia,Warren County,Jon Ossoff,DEM,1424
Georgia,Warren County,David Perdue,REP,1172
Georgia,Warren County,Shane Hazel,LIB,46
Georgia,Warren County, Write-ins,WRI,0
Georgia,Washington County,David Perdue,REP,4630
Georgia,Washington County,Jon Ossoff,DEM,4477
Georgia,Washington County,Shane Hazel,LIB,172
Georgia,Wayne County,David Perdue,REP,9734
Georgia,Wayne County,Jon Ossoff,DEM,2655
Georgia,Wayne County,Shane Hazel,LIB,244
Georgia,Webster County,David Perdue,REP,736
Georgia,Webster County,Jon Ossoff,DEM,626
Georgia,Webster County,Shane Hazel,LIB,10
Georgia,Wheeler County,David Perdue,REP,1561
Georgia,Wheeler County,Jon Ossoff,DEM,654
Georgia,Wheeler County,Shane Hazel,LIB,35
Georgia,Wheeler County, Write-ins,WRI,4
Georgia,White County,David Perdue,REP,12072
Georgia,White County,Jon Ossoff,DEM,2273
Georgia,White County,Shane Hazel,LIB,371
Georgia,Whitfield County,David Perdue,REP,25158
Georgia,Whitfield County,Jon Ossoff,DEM,10177
Georgia,Whitfield County,Shane Hazel,LIB,962
Georgia,Wilcox County,David Perdue,REP,2369
Georgia,Wilcox County,Jon Ossoff,DEM,805
Georgia,Wilcox County,Shane Hazel,LIB,56
Georgia,Wilcox County, Write-ins,WRI,0
Georgia,Wilkes County,David Perdue,REP,2807
Georgia,Wilkes County,Jon Ossoff,DEM,2054
Georgia,Wilkes County,Shane Hazel,LIB,78
Georgia,Wilkes County, Write-ins,WRI,6
Georgia,Wilkinson County,David Perdue,REP,2608
Georgia,Wilkinson County,Jon Ossoff,DEM,2017
Georgia,Wilkinson County,Shane Hazel,LIB,79
Georgia,Wilkinson County, Write-ins,WRI,0
Georgia,Worth County,David Perdue,REP,6724
Georgia,Worth County,Jon Ossoff,DEM,2327
Georgia,Worth County,Shane Hazel,LIB,157
Georgia,Worth County, Write-ins,WRI,0
Idaho,Ada County,Jim Risch,REP,130446
Idaho,Ada County,Paulette Jordan,DEM,118718
Idaho,Ada County,Natalie Fleming,IND,6940
Idaho,Ada County,Ray Writz,CST,1910
Idaho,Adams County,Jim Risch,REP,828
Idaho,Adams County,Paulette Jordan,DEM,625
Idaho,Adams County,Natalie Fleming,IND,62
Idaho,Adams County,Ray Writz,CST,46
Idaho,Bannock County,Jim Risch,REP,22048
Idaho,Bannock County,Paulette Jordan,DEM,15472
Idaho,Bannock County,Natalie Fleming,IND,1433
Idaho,Bannock County,Ray Writz,CST,460
Idaho,Bear Lake County,Jim Risch,REP,2801
Idaho,Bear Lake County,Paulette Jordan,DEM,355
Idaho,Bear Lake County,Natalie Fleming,IND,91
Idaho,Bear Lake County,Ray Writz,CST,64
Idaho,Benewah County,Jim Risch,REP,3584
